2025-06-21 19:09:01,486 - result - CRITICAL - LLM: gpt-4o-mini
2025-06-21 19:09:01,486 - result - CRITICAL - Mode: Solo
2025-06-21 19:09:01,486 - result - CRITICAL - Datapoints: 50

2025-06-21 19:09:01,486 - result - CRITICAL - ESSAY SET 1:

2025-06-21 19:09:02,016 - result - CRITICAL - 
                                                  essay  score  y_pred  diff
309   "I personally believe that computersdo benefit...      8      12     4
104   "Dear @CAPS1 @CAPS2 @CAPS3, I believe that com...     10       8    -2
796   I believe that computers benefit society. They...      8       8     0
579   "Dear Newspaper, @CAPS1 you know, the majority...      8      10     2
857   "To use computors, or not to. That is the ques...     10       8    -2
133   "Dear @CAPS1 @CAPS2, I am writing a letter to ...      8       8     0
618   "In my opinion i think computers have a positi...      8      10     2
408   "Computers and the @CAPS1 have changed the way...      9       7    -2
289   "Dear @LOCATION1 harold, More and more people ...      9       8    -1
687   "@CAPS8 more and more technology is being inve...     11       8    -3
332   "I belive that computer technology is a positi...      8       8     0
196   "The effect computers have on humans is by far...     12      16     4
100   "@ORGANIZATION1, @CAPS1 technology continues t...      9       8    -1
993   "Dear local newspaper, I am sure you will agre...     10       6    -4
704   "Dear local newspaper: I strongly feel that co...      9      10     1
747   "Dear newspaper, I know that computers can pla...     10       7    -3
940   "There are over @NUM1 students at @ORGANIZATIO...      9       8    -1
352   "Dear Local Newspaper, Computers are used ever...      8      10     2
778   "Dear, @CAPS1 paper edattor we should stop bec...      6       4    -2
304   "Dear local newspaper, I think that computers ...      8       7    -1
474   "@CITY1 @CAPS1: I believe that computers (for ...      8       6    -2
172   "Dear @CAPS1 @CAPS2, I think that having a com...      9       6    -3
450   "Dear Local Newspaper, @ORGANIZATION1's benefi...      7       8     1
63    "Dear editor of the @ORGANIZATION1, In my opin...      8       6    -2
37    "Dear, Newspaper I would like to tell you abou...      8       6    -2
1064  "Dear Newspaper, Computers have advance a lot ...     11       8    -3
347   "Dear, @ORGANIZATION1 are a major part in ever...      8       8     0
482   "Dear, Newspaper @CAPS1 my name is @CAPS2, @PE...      7       6    -1
167   "Dear @LOCATION1, @CAPS1 everybody relizes, te...     10       6    -4
887   "Dear Local Newspaper @CAPS1, I am against tha...      9       8    -1
597   "Dear Local @CAPS1 @CAPS2 you know long of tim...     10       6    -4
291   "Dear local newspaper, I'm sure you love kicki...     10      14     4
1023  "Dear Local @CAPS1: I'm sitting at the couch t...     11       7    -4
452   "Now-a-days the technological industries are t...     10       9    -1
677   "I think that computers are because you can ha...      8       4    -4
976   "Dear Newspaper, Computers have a huge effect ...     11       8    -3
779   "I believe that computers have a negitive effe...      8       8     0
1026  "Dear @ORGANIZATION1, @CAPS1 reading your pape...      8       8     0
932   "Dear, newspaper writer I think the computer h...      8       6    -2
882   "Dear newspaper, @CAPS1't you love to go in yo...      8       7    -1
267   "Dear editors, I was planning on taking a trip...     10      10     0
191   "Dear Local newspaper, @CAPS1 are big aguments...      9       8    -1
305   "I blive that computers have a lot of effects ...      6       4    -2
979   "Dear @CAPS1 I would like to inform the public...      6       6     0
531   "@ORGANIZATION1, @CAPS1 studies have been cond...      9       7    -2
641   "Dear Newspaper, I am writing to you @DATE1 be...      8       4    -4
38    "Computers and the @CAPS1 were a technological...     10       6    -4
990   "Dear Local Newspaper, @CAPS1 you think comput...      8       8     0
317   "Dear @ORGANIZATION1, @DATE1, everywhere you l...     11       8    -3
585   "Dear @CAPS1 @CAPS2, @CAPS3 recently has been ...      8       6    -2


2025-06-21 19:09:02,017 - result - CRITICAL - ESSAY SET 2:

2025-06-21 19:09:02,521 - result - CRITICAL - 
                                                  essay  score  y_pred  diff
959   I believe books are writen for a reason and th...      6       5    -1
40    "I am a citizen of the @LOCATION1 and I believ...      8       5    -3
1055  "I think there should be no books taken off th...      7       5    -2
1008  "Yes I do believe that any book found offensiv...      6       4    -2
383   "What are we hiding from? Is personal expressi...      8       6    -2
248   "When it comes to the decision of certain mate...      8       6    -2
234   "Should certain materials, such as books, musi...      6       5    -1
572   "Libraries have so many books, and books that ...      5       4    -1
585   "There are many books, music, movies, and mage...      8       6    -2
972   "If you take offense to certian things, you sh...      7       5    -2
796   I find it intresting that people think that it...      4       4     0
1074  There should not be sensorship on the books in...      4       4     0
36    "Comics, romance, adventure books, and mystery...      8       6    -2
634   "My name is @CAPS1 and my views on censorship ...      6       5    -1
787   "@CAPS1 is the freedom of speech to be able to...      7       4    -3
397   "Okay, to me, people are way to moral in the m...      6       5    -1
410   "Library Censorship     Everyone has their fav...      8       8     0
103   "While their are many books written out thier ...      6       4    -2
377   "I belive if the books, music, movies, magazin...      6       5    -1
267   "Every parent wants to protect their child's i...      8       8     0
1007  "Everyone has an opinion. Don't you agree? Tha...      7       8     1
304   "This writing is socially unacceptable! There ...      8       4    -4
673   "Yes, I believe that certian materials should ...      8       6    -2
912   "First, libraries are a good source of informa...      7       7     0
854   "Have you ever watched a movie that had some s...      6       6     0
1073  "Dear Newspaper @CAPS1     @CAPS2 my name is @...      7       6    -1
424   "Some books in libraries offended some people....      3       2    -1
681   "Most people have been debating on whether or ...      5       5     0
632   "Do I belive that ceratin materials should be ...      4       2    -2
1071  "Need help with Censorship in @ORGANIZATION1  ...      6       4    -2
518   "Censorship in Libraries     The library prese...      8       5    -3
172   "Should books, magazines, music, and movies be...      6       6     0
444   Their are some books that should not be remove...      5       4    -1
536   "To begin with, a woman might read a book abou...      6       5    -1
1012  "When you have children would you want to shie...      8       5    -3
731   "I actually do believe that they should be abl...      6       5    -1
143   I dont think there should be any censorship go...      4       2    -2
1017  "When someone goes to the library, there is mu...      8       5    -3
37    "To start, if any materials in the library suc...      6       4    -2
387   "The way that the books, musics ,ect. are made...      4       4     0
336   "My view opposes the open distribution of cert...      8       6    -2
935   "'Everyone has @CAPS1 @CAPS2'     @CAPS3 is tr...      8       3    -5
77    "All of us have rights, all of us have the sam...      6       6     0
834   "Libraries are for children, and adults of all...      8       6    -2
954   "When you go into a library have you ever seen...      7       6    -1
841   "No because all people like to read different ...      7       6    -1
611   "The ideas conveyed by literature, music, and ...      8       9     1
