2025-06-22 01:21:39,350 - result - CRITICAL - LLM: gpt-4.1
2025-06-22 01:21:39,351 - result - CRITICAL - Mode: Solo
2025-06-22 01:21:39,351 - result - CRITICAL - Datapoints: 50

2025-06-22 01:21:39,351 - result - CRITICAL - ESSAY SET 1:

2025-06-22 01:21:39,878 - result - CRITICAL - 
                                                  essay  score  y_pred  diff
309   "I personally believe that computersdo benefit...      8       9     1
104   "Dear @CAPS1 @CAPS2 @CAPS3, I believe that com...     10       5    -5
796   I believe that computers benefit society. They...      8       7    -1
579   "Dear Newspaper, @CAPS1 you know, the majority...      8       8     0
857   "To use computors, or not to. That is the ques...     10       9    -1
133   "Dear @CAPS1 @CAPS2, I am writing a letter to ...      8       6    -2
618   "In my opinion i think computers have a positi...      8       8     0
408   "Computers and the @CAPS1 have changed the way...      9       7    -2
289   "Dear @LOCATION1 harold, More and more people ...      9       4    -5
687   "@CAPS8 more and more technology is being inve...     11       8    -3
332   "I belive that computer technology is a positi...      8       7    -1
196   "The effect computers have on humans is by far...     12       9    -3
100   "@ORGANIZATION1, @CAPS1 technology continues t...      9       6    -3
993   "Dear local newspaper, I am sure you will agre...     10       6    -4
704   "Dear local newspaper: I strongly feel that co...      9       8    -1
747   "Dear newspaper, I know that computers can pla...     10       7    -3
940   "There are over @NUM1 students at @ORGANIZATIO...      9       8    -1
352   "Dear Local Newspaper, Computers are used ever...      8       8     0
778   "Dear, @CAPS1 paper edattor we should stop bec...      6       3    -3
304   "Dear local newspaper, I think that computers ...      8       7    -1
474   "@CITY1 @CAPS1: I believe that computers (for ...      8       6    -2
172   "Dear @CAPS1 @CAPS2, I think that having a com...      9       3    -6
450   "Dear Local Newspaper, @ORGANIZATION1's benefi...      7       7     0
63    "Dear editor of the @ORGANIZATION1, In my opin...      8       5    -3
37    "Dear, Newspaper I would like to tell you abou...      8       4    -4
1064  "Dear Newspaper, Computers have advance a lot ...     11       8    -3
347   "Dear, @ORGANIZATION1 are a major part in ever...      8       7    -1
482   "Dear, Newspaper @CAPS1 my name is @CAPS2, @PE...      7       3    -4
167   "Dear @LOCATION1, @CAPS1 everybody relizes, te...     10       6    -4
887   "Dear Local Newspaper @CAPS1, I am against tha...      9       7    -2
597   "Dear Local @CAPS1 @CAPS2 you know long of tim...     10       3    -7
291   "Dear local newspaper, I'm sure you love kicki...     10       8    -2
1023  "Dear Local @CAPS1: I'm sitting at the couch t...     11       7    -4
452   "Now-a-days the technological industries are t...     10       5    -5
677   "I think that computers are because you can ha...      8       3    -5
976   "Dear Newspaper, Computers have a huge effect ...     11       7    -4
779   "I believe that computers have a negitive effe...      8       4    -4
1026  "Dear @ORGANIZATION1, @CAPS1 reading your pape...      8       6    -2
932   "Dear, newspaper writer I think the computer h...      8       5    -3
882   "Dear newspaper, @CAPS1't you love to go in yo...      8       7    -1
267   "Dear editors, I was planning on taking a trip...     10       7    -3
191   "Dear Local newspaper, @CAPS1 are big aguments...      9       5    -4
305   "I blive that computers have a lot of effects ...      6       3    -3
979   "Dear @CAPS1 I would like to inform the public...      6       4    -2
531   "@ORGANIZATION1, @CAPS1 studies have been cond...      9       7    -2
641   "Dear Newspaper, I am writing to you @DATE1 be...      8       4    -4
38    "Computers and the @CAPS1 were a technological...     10       4    -6
990   "Dear Local Newspaper, @CAPS1 you think comput...      8       5    -3
317   "Dear @ORGANIZATION1, @DATE1, everywhere you l...     11       5    -6
585   "Dear @CAPS1 @CAPS2, @CAPS3 recently has been ...      8       4    -4


2025-06-22 01:21:39,879 - result - CRITICAL - ESSAY SET 2:

2025-06-22 01:21:40,397 - result - CRITICAL - 
                                                  essay  score  y_pred  diff
959   I believe books are writen for a reason and th...      6       2    -4
40    "I am a citizen of the @LOCATION1 and I believ...      8       3    -5
1055  "I think there should be no books taken off th...      7       3    -4
1008  "Yes I do believe that any book found offensiv...      6       2    -4
383   "What are we hiding from? Is personal expressi...      8       4    -4
248   "When it comes to the decision of certain mate...      8       4    -4
234   "Should certain materials, such as books, musi...      6       2    -4
572   "Libraries have so many books, and books that ...      5       2    -3
585   "There are many books, music, movies, and mage...      8       4    -4
972   "If you take offense to certian things, you sh...      7       2    -5
796   I find it intresting that people think that it...      4       2    -2
1074  There should not be sensorship on the books in...      4       2    -2
36    "Comics, romance, adventure books, and mystery...      8       3    -5
634   "My name is @CAPS1 and my views on censorship ...      6       2    -4
787   "@CAPS1 is the freedom of speech to be able to...      7       2    -5
397   "Okay, to me, people are way to moral in the m...      6       2    -4
410   "Library Censorship     Everyone has their fav...      8       4    -4
103   "While their are many books written out thier ...      6       2    -4
377   "I belive if the books, music, movies, magazin...      6       2    -4
267   "Every parent wants to protect their child's i...      8       4    -4
1007  "Everyone has an opinion. Don't you agree? Tha...      7       4    -3
304   "This writing is socially unacceptable! There ...      8       2    -6
673   "Yes, I believe that certian materials should ...      8       3    -5
912   "First, libraries are a good source of informa...      7       3    -4
854   "Have you ever watched a movie that had some s...      6       2    -4
1073  "Dear Newspaper @CAPS1     @CAPS2 my name is @...      7       3    -4
424   "Some books in libraries offended some people....      3       2    -1
681   "Most people have been debating on whether or ...      5       2    -3
632   "Do I belive that ceratin materials should be ...      4       2    -2
1071  "Need help with Censorship in @ORGANIZATION1  ...      6       2    -4
518   "Censorship in Libraries     The library prese...      8       3    -5
172   "Should books, magazines, music, and movies be...      6       3    -3
444   Their are some books that should not be remove...      5       2    -3
536   "To begin with, a woman might read a book abou...      6       3    -3
1012  "When you have children would you want to shie...      8       4    -4
731   "I actually do believe that they should be abl...      6       3    -3
143   I dont think there should be any censorship go...      4       1    -3
1017  "When someone goes to the library, there is mu...      8       2    -6
37    "To start, if any materials in the library suc...      6       3    -3
387   "The way that the books, musics ,ect. are made...      4       2    -2
336   "My view opposes the open distribution of cert...      8       3    -5
935   "'Everyone has @CAPS1 @CAPS2'     @CAPS3 is tr...      8       4    -4
77    "All of us have rights, all of us have the sam...      6       3    -3
834   "Libraries are for children, and adults of all...      8       3    -5
954   "When you go into a library have you ever seen...      7       3    -4
841   "No because all people like to read different ...      7       3    -4
611   "The ideas conveyed by literature, music, and ...      8       4    -4
848   "Censorship in the libraries. Do you think tha...      6       2    -4
42    "Dear @CAPS1,      @CAPS2 name is @PERSON1. I ...      8       3    -5
89    "I belive that certain materials such as books...      8       3    -5


2025-06-22 01:21:40,399 - result - CRITICAL - ESSAY SET 3:

2025-06-22 01:21:40,908 - result - CRITICAL - 
                                                  essay  score  y_pred  diff
839   "Each new feature of the setting in the essay ...      3       2    -1
848   "Do not Exceed posted speed limit, never accep...      2       1    -1
108   "In the essay “Do not Exceed Posted Speed Limi...      3       2    -1
461   "The features of the setting affect the cyclis...      3       2    -1
255   The features of the setting affect the cyclist...      1       1     0
15    "Setting can affect anyone and everyone, in th...      1       1     0
149   "The riders condition was rough, from flat lan...      1       1     0
778   When the cyclist went to ask about the road th...      1       1     0
574   "The features of the barren desert path make t...      3       3     0
133   "The setting that were affecting the cyclist w...      1       1     0
38    "The settings have a huge affect on the cyclis...      3       1    -2
1013  "The features of the setting effected the cycl...      1       1     0
143   "As he began his journey, he had full confiden...      2       1    -1
871   "The features of the setting affect the cyclis...      2       1    -1
196   "In the essay “Do Not @CAPS1 Posted Speed Limi...      3       2    -1
37    The setting of the essay efects the cyclist be...      1       1     0
172   "Many features of the cyclist’s surroundings e...      1       1     0
928   "The feature of the setting affect the cyclist...      1       1     0
63    "In the story “Do Not Exceed Posted Speed Limi...      3       2    -1
203   "In the essay “Rough Road Ahead: Do Not Exceed...      2       2     0
909   The features of the setting affected the cycli...      1       1     0
44    "The features of the setting effected the cycl...      2       1    -1
787   "There were many features in the setting that ...      2       2     0
694   "The cyclist in the story is at first confiden...      3       2    -1
695   "The features of the setting affect the cyclis...      2       1    -1
511   "At first when he gets the directions from the...      3       2    -1
267   "The desert and the hills had a huge effect on...      1       1     0
727   "The features of the setting do affect the cyc...      0       0     0
671   "In the short story Rough Road ahead: Do Not E...      3       1    -2
42    In this I will tell you how the cyclist was be...      2       1    -1
532   "The dessert environment had huge effects on t...      2       2     0
188   "The setting in the essay “Rough Road ahead; D...      2       2     0
366   "In 'Rough @CAPS1 Ahead' the features of the s...      2       2     0
903   "In the essay “Rough Road Ahead, Do Not Exceed...      1       1     0
