2025-06-21 21:27:46,069 - result - CRITICAL - LLM: gpt-4o
2025-06-21 21:27:46,069 - result - CRITICAL - Mode: Solo
2025-06-21 21:27:46,069 - result - CRITICAL - Datapoints: 50

2025-06-21 21:27:46,070 - result - CRITICAL - ESSAY SET 1:

2025-06-21 21:28:53,394 - result - CRITICAL - 
                                                  essay  score  y_pred  diff
309   "I personally believe that computersdo benefit...      8       8     0
104   "Dear @CAPS1 @CAPS2 @CAPS3, I believe that com...     10       4    -6
796   I believe that computers benefit society. They...      8       6    -2
579   "Dear Newspaper, @CAPS1 you know, the majority...      8       8     0
857   "To use computors, or not to. That is the ques...     10       8    -2
133   "Dear @CAPS1 @CAPS2, I am writing a letter to ...      8       5    -3
618   "In my opinion i think computers have a positi...      8       8     0
408   "Computers and the @CAPS1 have changed the way...      9       5    -4
289   "Dear @LOCATION1 harold, More and more people ...      9       6    -3
687   "@CAPS8 more and more technology is being inve...     11       6    -5
332   "I belive that computer technology is a positi...      8       6    -2
196   "The effect computers have on humans is by far...     12       6    -6
100   "@ORGANIZATION1, @CAPS1 technology continues t...      9       6    -3
993   "Dear local newspaper, I am sure you will agre...     10       6    -4
704   "Dear local newspaper: I strongly feel that co...      9       6    -3
747   "Dear newspaper, I know that computers can pla...     10       6    -4
940   "There are over @NUM1 students at @ORGANIZATIO...      9       8    -1
352   "Dear Local Newspaper, Computers are used ever...      8       6    -2
778   "Dear, @CAPS1 paper edattor we should stop bec...      6       4    -2
304   "Dear local newspaper, I think that computers ...      8       6    -2
474   "@CITY1 @CAPS1: I believe that computers (for ...      8       6    -2
172   "Dear @CAPS1 @CAPS2, I think that having a com...      9       4    -5
450   "Dear Local Newspaper, @ORGANIZATION1's benefi...      7       6    -1
63    "Dear editor of the @ORGANIZATION1, In my opin...      8       5    -3
37    "Dear, Newspaper I would like to tell you abou...      8       6    -2
1064  "Dear Newspaper, Computers have advance a lot ...     11       7    -4
347   "Dear, @ORGANIZATION1 are a major part in ever...      8       6    -2
482   "Dear, Newspaper @CAPS1 my name is @CAPS2, @PE...      7       2    -5
167   "Dear @LOCATION1, @CAPS1 everybody relizes, te...     10       4    -6
887   "Dear Local Newspaper @CAPS1, I am against tha...      9       6    -3
597   "Dear Local @CAPS1 @CAPS2 you know long of tim...     10       4    -6
291   "Dear local newspaper, I'm sure you love kicki...     10       6    -4
1023  "Dear Local @CAPS1: I'm sitting at the couch t...     11       6    -5
452   "Now-a-days the technological industries are t...     10       5    -5
677   "I think that computers are because you can ha...      8       4    -4
976   "Dear Newspaper, Computers have a huge effect ...     11       6    -5
779   "I believe that computers have a negitive effe...      8       4    -4
1026  "Dear @ORGANIZATION1, @CAPS1 reading your pape...      8       6    -2
932   "Dear, newspaper writer I think the computer h...      8       6    -2
882   "Dear newspaper, @CAPS1't you love to go in yo...      8       6    -2
267   "Dear editors, I was planning on taking a trip...     10       6    -4
191   "Dear Local newspaper, @CAPS1 are big aguments...      9       6    -3
305   "I blive that computers have a lot of effects ...      6       4    -2
979   "Dear @CAPS1 I would like to inform the public...      6       6     0
531   "@ORGANIZATION1, @CAPS1 studies have been cond...      9       6    -3
641   "Dear Newspaper, I am writing to you @DATE1 be...      8       4    -4
38    "Computers and the @CAPS1 were a technological...     10       4    -6
990   "Dear Local Newspaper, @CAPS1 you think comput...      8       6    -2
317   "Dear @ORGANIZATION1, @DATE1, everywhere you l...     11       6    -5
585   "Dear @CAPS1 @CAPS2, @CAPS3 recently has been ...      8       4    -4


2025-06-21 21:28:53,397 - result - CRITICAL - ESSAY SET 2:

2025-06-21 21:35:46,679 - result - CRITICAL - 
                                                  essay  score  y_pred  diff
959   I believe books are writen for a reason and th...      6       5    -1
40    "I am a citizen of the @LOCATION1 and I believ...      8       5    -3
1055  "I think there should be no books taken off th...      7       5    -2
1008  "Yes I do believe that any book found offensiv...      6       5    -1
383   "What are we hiding from? Is personal expressi...      8       7    -1
248   "When it comes to the decision of certain mate...      8       7    -1
234   "Should certain materials, such as books, musi...      6       5    -1
572   "Libraries have so many books, and books that ...      5       5     0
585   "There are many books, music, movies, and mage...      8       7    -1
972   "If you take offense to certian things, you sh...      7       5    -2
796   I find it intresting that people think that it...      4       5     1
1074  There should not be sensorship on the books in...      4       4     0
36    "Comics, romance, adventure books, and mystery...      8       7    -1
634   "My name is @CAPS1 and my views on censorship ...      6       5    -1
787   "@CAPS1 is the freedom of speech to be able to...      7       5    -2
397   "Okay, to me, people are way to moral in the m...      6       5    -1
410   "Library Censorship     Everyone has their fav...      8       7    -1
103   "While their are many books written out thier ...      6       5    -1
377   "I belive if the books, music, movies, magazin...      6       5    -1
267   "Every parent wants to protect their child's i...      8       7    -1
1007  "Everyone has an opinion. Don't you agree? Tha...      7       7     0
304   "This writing is socially unacceptable! There ...      8       5    -3
673   "Yes, I believe that certian materials should ...      8       5    -3
912   "First, libraries are a good source of informa...      7       7     0
854   "Have you ever watched a movie that had some s...      6       5    -1
1073  "Dear Newspaper @CAPS1     @CAPS2 my name is @...      7       5    -2
424   "Some books in libraries offended some people....      3       5     2
681   "Most people have been debating on whether or ...      5       5     0
632   "Do I belive that ceratin materials should be ...      4       3    -1
1071  "Need help with Censorship in @ORGANIZATION1  ...      6       5    -1
518   "Censorship in Libraries     The library prese...      8       5    -3
172   "Should books, magazines, music, and movies be...      6       7     1
444   Their are some books that should not be remove...      5       5     0
536   "To begin with, a woman might read a book abou...      6       5    -1
1012  "When you have children would you want to shie...      8       6    -2
731   "I actually do believe that they should be abl...      6       5    -1
143   I dont think there should be any censorship go...      4       3    -1
1017  "When someone goes to the library, there is mu...      8       5    -3
37    "To start, if any materials in the library suc...      6       5    -1
387   "The way that the books, musics ,ect. are made...      4       5     1
336   "My view opposes the open distribution of cert...      8       7    -1
935   "'Everyone has @CAPS1 @CAPS2'     @CAPS3 is tr...      8       5    -3
77    "All of us have rights, all of us have the sam...      6       5    -1
834   "Libraries are for children, and adults of all...      8       7    -1
954   "When you go into a library have you ever seen...      7       7     0
841   "No because all people like to read different ...      7       5    -2
611   "The ideas conveyed by literature, music, and ...      8       7    -1
848   "Censorship in the libraries. Do you think tha...      6       5    -1
42    "Dear @CAPS1,      @CAPS2 name is @PERSON1. I ...      8       7    -1
89    "I belive that certain materials such as books...      8       5    -3


2025-06-21 21:35:46,681 - result - CRITICAL - ESSAY SET 3:

2025-06-21 21:39:12,861 - result - CRITICAL - 
                                                  essay  score  y_pred  diff
839   "Each new feature of the setting in the essay ...      3       4     1
848   "Do not Exceed posted speed limit, never accep...      2       2     0
108   "In the essay “Do not Exceed Posted Speed Limi...      3       4     1
461   "The features of the setting affect the cyclis...      3       4     1
255   The features of the setting affect the cyclist...      1       2     1
15    "Setting can affect anyone and everyone, in th...      1       2     1
149   "The riders condition was rough, from flat lan...      1       2     1
778   When the cyclist went to ask about the road th...      1       2     1
574   "The features of the barren desert path make t...      3       4     1
133   "The setting that were affecting the cyclist w...      1       2     1
38    "The settings have a huge affect on the cyclis...      3       2    -1
1013  "The features of the setting effected the cycl...      1       2     1
143   "As he began his journey, he had full confiden...      2       4     2
871   "The features of the setting affect the cyclis...      2       2     0
196   "In the essay “Do Not @CAPS1 Posted Speed Limi...      3       2    -1
37    The setting of the essay efects the cyclist be...      1       2     1
172   "Many features of the cyclist’s surroundings e...      1       2     1
928   "The feature of the setting affect the cyclist...      1       2     1
63    "In the story “Do Not Exceed Posted Speed Limi...      3       4     1
203   "In the essay “Rough Road Ahead: Do Not Exceed...      2       2     0
909   The features of the setting affected the cycli...      1       2     1
44    "The features of the setting effected the cycl...      2       2     0
787   "There were many features in the setting that ...      2       4     2
694   "The cyclist in the story is at first confiden...      3       4     1
695   "The features of the setting affect the cyclis...      2       2     0
511   "At first when he gets the directions from the...      3       4     1
267   "The desert and the hills had a huge effect on...      1       4     3
727   "The features of the setting do affect the cyc...      0       0     0
671   "In the short story Rough Road ahead: Do Not E...      3       2    -1
42    In this I will tell you how the cyclist was be...      2       2     0
532   "The dessert environment had huge effects on t...      2       2     0
188   "The setting in the essay “Rough Road ahead; D...      2       4     2
366   "In 'Rough @CAPS1 Ahead' the features of the s...      2       4     2
903   "In the essay “Rough Road Ahead, Do Not Exceed...      1       4     3
1020  "In the essay by Joe Kurmaskie many obstacles ...      2       2     0
187   "Poor directions heat, and lack of water affec...      3       4     1
207   The features of the setting is that it is hot ...      2       2     0
1030  "In the essay, “Rough Road A head Do Not Excee...      3       4     1
1027  "Different features of the settings affect the...      1       2     1
380   "If I had a choice to ride a bike in Californi...      1       2     1
352   The features of the setting affect the cyclist...      1       4     3
103   "The features in the setting of this story aff...      1       2     1
933   "The features of the setting affect the cyclis...      2       2     0
981   "The features of the setting affected the cycl...      1       2     1
656   The features of the setting affected the cycli...      1       2     1
919   The setting affects the rider because it is ve...      1       2     1
450   "The features of the setting including vast em...      3       2    -1
300   "THE FEATURES OF THE SETTING AFFECT THE CYCLIS...      3       2    -1
