2025-06-20 02:27:43,342 - result - CRITICAL - LLM: gpt-4o-mini
2025-06-20 02:27:43,342 - result - CRITICAL - Mode: Solo
2025-06-20 02:27:43,342 - result - CRITICAL - Datapoints: 500

2025-06-20 02:27:43,343 - result - CRITICAL - ESSAY SET 1:

2025-06-20 02:31:14,495 - result - CRITICAL - 
                                                 essay  score  y_pred  diff
309  "I personally believe that computersdo benefit...      8    16.0   8.0
104  "Dear @CAPS1 @CAPS2 @CAPS3, I believe that com...     10     6.0  -4.0
796  I believe that computers benefit society. They...      8     8.0   0.0
579  "Dear Newspaper, @CAPS1 you know, the majority...      8     8.0   0.0
857  "To use computors, or not to. That is the ques...     10     8.0  -2.0
..                                                 ...    ...     ...   ...
368  "The effect of people using computers isn't an...      6     6.0   0.0
19   "Dear local newspaper, Computers are they a go...     10     8.0  -2.0
997  "To: @CAPS1 this letter concerns, Computers ar...      6     6.0   0.0
216  "Dear @ORGANIZATION1 have effects on people an...      8     6.0  -2.0
518  "Dear Newspaper, People use computers in their...     10     8.0  -2.0

[500 rows x 4 columns]


2025-06-20 02:52:52,117 - result - CRITICAL - LLM: gpt-4o-mini
2025-06-20 02:52:52,117 - result - CRITICAL - Mode: Solo
2025-06-20 02:52:52,117 - result - CRITICAL - Datapoints: 500

2025-06-20 02:52:52,156 - result - CRITICAL - ESSAY SET 1:

2025-06-20 02:52:52,482 - result - CRITICAL - 
                                                  essay  score  y_pred  diff
309   "I personally believe that computersdo benefit...      8      16     8
104   "Dear @CAPS1 @CAPS2 @CAPS3, I believe that com...     10       6    -4
796   I believe that computers benefit society. They...      8       8     0
579   "Dear Newspaper, @CAPS1 you know, the majority...      8       8     0
857   "To use computors, or not to. That is the ques...     10       8    -2
133   "Dear @CAPS1 @CAPS2, I am writing a letter to ...      8       6    -2
618   "In my opinion i think computers have a positi...      8      14     6
408   "Computers and the @CAPS1 have changed the way...      9       8    -1
289   "Dear @LOCATION1 harold, More and more people ...      9       6    -3
687   "@CAPS8 more and more technology is being inve...     11       8    -3
332   "I belive that computer technology is a positi...      8       8     0
196   "The effect computers have on humans is by far...     12      16     4
100   "@ORGANIZATION1, @CAPS1 technology continues t...      9       8    -1
993   "Dear local newspaper, I am sure you will agre...     10       6    -4
704   "Dear local newspaper: I strongly feel that co...      9       8    -1
747   "Dear newspaper, I know that computers can pla...     10       6    -4
940   "There are over @NUM1 students at @ORGANIZATIO...      9       8    -1
352   "Dear Local Newspaper, Computers are used ever...      8       8     0
778   "Dear, @CAPS1 paper edattor we should stop bec...      6       4    -2
304   "Dear local newspaper, I think that computers ...      8       8     0
474   "@CITY1 @CAPS1: I believe that computers (for ...      8       6    -2
172   "Dear @CAPS1 @CAPS2, I think that having a com...      9       6    -3
450   "Dear Local Newspaper, @ORGANIZATION1's benefi...      7       8     1
63    "Dear editor of the @ORGANIZATION1, In my opin...      8       6    -2
37    "Dear, Newspaper I would like to tell you abou...      8       6    -2
1064  "Dear Newspaper, Computers have advance a lot ...     11       8    -3
347   "Dear, @ORGANIZATION1 are a major part in ever...      8       8     0
482   "Dear, Newspaper @CAPS1 my name is @CAPS2, @PE...      7       6    -1
167   "Dear @LOCATION1, @CAPS1 everybody relizes, te...     10       6    -4
887   "Dear Local Newspaper @CAPS1, I am against tha...      9       8    -1
597   "Dear Local @CAPS1 @CAPS2 you know long of tim...     10       6    -4
291   "Dear local newspaper, I'm sure you love kicki...     10       8    -2
1023  "Dear Local @CAPS1: I'm sitting at the couch t...     11       8    -3
452   "Now-a-days the technological industries are t...     10       6    -4
677   "I think that computers are because you can ha...      8       4    -4
976   "Dear Newspaper, Computers have a huge effect ...     11      10    -1
779   "I believe that computers have a negitive effe...      8       6    -2
1026  "Dear @ORGANIZATION1, @CAPS1 reading your pape...      8       8     0
932   "Dear, newspaper writer I think the computer h...      8       6    -2
882   "Dear newspaper, @CAPS1't you love to go in yo...      8       8     0
